ID,review,cleaned_review,date,verification_status,neg_score,neu_score,pos_score,rating
1,"Horrendous experience. High cost of seat reservation, plane in a bad state and terrible customer service. As part of the trip we had to cancel part of the itinerary, while we acknowledged it was a non-refundable flight, British Airways owed me a refund for taxes due. Getting the money from them was like getting blood from a stone. After many hours on the phone with customer service agents, half the money was sent to the card i paid on, while the other half was sent to a card the expired in 2017, starting another saga of British Airways claiming they had paid the money before admitting that they had not. 6 months later, I am still waiting for the money due for taxes that British Airways didn't have to pay (not a refund by the way as it was a non-refundable flight, taxes that BA took from me for a flight that our family never even flew). Do yourself a favour, avoid British Airways. If anything goes wrong you will spend hours wasting your life trying to get them to meet their legal obligations. We paid them more than $2,000 in non refundable fees for a flight we didn't take, and they still make getting our $200 tax refund a living hell.",horrendous experience high cost reservation bad state terrible customer service part trip cancel part itinerary acknowledged nonrefundable owed refund taxes due getting money like getting blood stone many hours phone customer service agents half money sent card paid half sent card expired starting another saga claiming paid money admitting months later still waiting money due taxes didnt pay refund way nonrefundable taxes took family never even flew favour avoid anything goes wrong spend hours wasting life trying get meet legal obligations paid non refundable fees didnt take still make getting tax refund living hell,2023-12-24,Not Verified,0.93034875,0.062550865,0.007100298,1
2,"Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain.",absolutely pathetic business class product even remotely competitive international airlines business class market old outdated across seating make typing mistake either climb across someone someone climb across gain aisle access crew must also hate layout since reach little window openings provide service passengers center seats like europeanbased airlines factual intraeuropean business class product even though promote sell business class intraeurope feature seating throughout difference middle left empty business class passengers get meal drinks justify higher cost bas transatlantic business class product slightly better narrow across seating biggest surprise lislhr lhriah fact substantially improved food quality shocking unfortunately served worst business class configurations international flown entertainment system small screens laptop screen twice size like offering decades ago crew pleasant perfunctory best one expect crew simply never match quality carriers like singapore emirates qatar etihad eva ana japan air new zealand qantas many others compete usbased airlines like delta american united also even universe terms highquality business class product one biggest slaps face expects business class passengers pay select seats even though paid thousands dollars business class several hundred us dollars transatlantic wait hours time allowed select cost certainly another management decision made without functioning brain,2023-12-23,Verified ,0.7336874,0.22519203,0.0411206,1
3,"Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again.",overall bad staff look tired overworked trying best weird seats g going going home buttons press recline stiff get help get work another button also stiff bring leg rest awkward thing doesnt come far enough use legs obstructs feet really get help activate stiff buttons one point lady next pressing buttons tried recline sit put leg rest back gave called attendant also trouble please give maintenance food one three menu choices available time got premium ec pasta bad christmas turkey dinner offered load popular available minutes meal service breakfast unidentified soggy pastry thing cardboard tube disgusting offered return journey cold pastry fruit would much nicer tea coffee hot least overall would say air canada provides much superior premium ec service wont choose,2023-12-21,Not Verified,0.53298,0.34176266,0.12525734,2
4,"This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them. As we were connecting, we had little interaction with ground staff - staff in the lounge were friendly and helpful. Cabin crew on the flight were great - very welcoming and friendly. Our meals were delicious & no shortage of drinks being offered. The seats were economy seats with the middle row blocked off and some recline. We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm. Bags (checked in at JFK) were delivered safely within 20 mins of arriving.",first years usual couldnt fault connecting little interaction ground staff staff lounge friendly helpful cabin crew great welcoming friendly meals delicious shortage drinks offered seats economy seats middle row blocked recline arrived little early snow shower nice welcome back bags checked jfk delivered safely within mins arriving,2023-12-21,Verified ,0.0022474788,0.020632913,0.9771197,5
5,"I recently encountered a highly disappointing experience with British Airways, specifically regarding their customer service. After my initial flight leg was canceled, I was rebooked with a connection at London Heathrow reduced to a mere 1 hour and 30 minutes. Realizing the impracticality of this, I promptly contacted British Airways within 10 minutes to request a more reasonable layover of 3-4 hours. Shockingly, the customer support representative flatly refused, citing an inability to change my flight. Despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, I received no assistance. To add to the frustration, the representative inaccurately noted on my account that I was presented with multiple options during our conversation. Moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. Both phone and email support proved equally incompetent, and I was informed that customer service is outsourced to India, allegedly contributing to the subpar service. This experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid British Airways in the future. The lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. I strongly advise others to steer clear of British Airways and their appalling customer service.",recently encountered highly disappointing experience specifically regarding customer service initial leg canceled rebooked connection heathrow reduced mere hour minutes realizing impracticality promptly contacted within minutes request reasonable layover hours shockingly customer support representative flatly refused citing inability change despite explaining logistical challenges short layover terminal change requiring additional security procedures received assistance add frustration representative inaccurately noted account presented multiple options conversation moreover use military time format lack initial options provided exacerbated communication issues phone email support proved equally incompetent informed customer service outsourced india allegedly contributing subpar service experience left struggling rebook also strong resolve avoid future lack assistance blameshifting overall incompetence customer service make worst experience yet strongly advise others steer clear appalling customer service,2023-12-21,Verified ,0.9553856,0.0402117,0.00440269,1
6,"Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!",beware dont provide refund due serious medical reason father diagnosed severe heart defect couple weeks date refused give refund good enough reason sent medical note doctor saying unfit travel due potential heart failure needs heart surgery soon possible operator totally dismissed said thing change travel date within year heart surgery recovery takes months highly unlikely able travel within year meaning would lose ticket money said cant anything help even change name ticket someone else use tickets ridiculous thing ive heard,2023-12-20,Not Verified,0.95087165,0.044189643,0.004938754,1
7,"Check in was chaotic and badly organised. Even though there were two desks, one for premium and one economy, there ended up being just one queue, in front of the premium check in, even though most passengers in it were economy. That meant that those travelling in club or with higher status had no separate queue to join. Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers, unnecessarily badly organised, the staff in charge should be retrained! Security at the airport was very quick and through to the lounge. This is a generic airport lounge for all airlines, and it is actually quite good overall. Nice layout and seating options, reasonable food and drink options, and an outdoor terrace which is really nice. Boarding was very well organised, although quite slow to get everyone on board.. but the flight was probably only half full and we still departed early so I think they felt no rush.. and it actually made the boarding experience nicer and more relaxed. On board the club Europe seats are fine by European business standards, although as previously commented are really not very good overall.. the meal service was disappointing. As is normal, BA do not stock enough of the proper meal option .. when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal. Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad. I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class, rolling some mush (similar consistency to mashed potato) into a sausage shape does not make it a sausage! BA you need to improve the meal options, make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals .. then people will not be left with such a substandard alternative when their first choice runs out! Whilst I hadn’t planned on using it, the on board WiFi was not functioning so was not available to use. Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient. I used avios to pay for the flight so it was obviously good value for money for me!",chaotic badly organised even though two desks one premium one economy ended one queue front premium even though passengers economy meant travelling club higher status separate queue join whilst waiting line another passenger went query ended forming new line front economy desk premium passengers unnecessarily badly organised staff charge retrained security airport quick lounge generic airport lounge airlines actually quite good overall nice layout seating options reasonable food drink options outdoor terrace really nice well organised although quite slow get everyone board probably half full still departed early think felt rush actually made experience nicer relaxed board club europe seats fine european business standards although previously commented really good overall meal service disappointing normal stock enough proper meal option options limited varied quality really stock enough everyone good meal sadly run time got option vegetarian sausage salad wanted hot meal went sausage honestly say one disgusting onboard meals ive ever cabin class rolling mush similar consistency mashed potato sausage shape make sausage need improve meal options make vegetarian meal something specifically request advance offer passengers choice two decent meals people left substandard alternative first choice runs whilst hadnt planned using board wifi functioning available use overall though fairly comfortable cabin crew friendly efficient used avios pay obviously good value money,2023-12-20,Verified ,0.3349836,0.3865204,0.27849594,2
8,"All 4 of our flights were fine in terms of comfort, punctuality and service. I feel safe with BA and that is my main reason for booking with them even though I could travel with other airlines more directly. On our return flight ATL/LHR we skipped the evening meal preferring to sleep and were looking forward to a hearty breakfast prior to arrival at LHR. Sadly we were seriously disappointed. To serve a chicken sausage in a wrap for a business class breakfast is just unacceptable. Does BA actually pay experts to design these breakfasts? Low point on an otherwise good trip.",fine terms comfort punctuality service feel safe main reason booking even though could travel airlines directly return atllhr skipped evening meal preferring sleep looking forward hearty breakfast prior arrival lhr sadly seriously disappointed serve chicken sausage wrap business class breakfast unacceptable actually pay experts design breakfasts low point otherwise good trip,2023-12-18,Not Verified,0.5329785,0.3094321,0.15758944,2
9,"c   I had hoped this would be a good review but unfortunately it won’t be. I flew business class from LHR to PDX on the BA nonstop. It was a 787–8 series aircraft. The flight attendant specifically mentioned it was eight years old as he recalled flying it when it was brand new. The business class seats were abysmal. My seat was at the window facing backwards. With the divider down, which had to be in that position for boarding, taxi, takeoff and landing, I was literally just a few feet away from the person in the aisle seat who was facing forward, We both couldn’t help but stare at one another. It couldn’t be avoided. It was horrible. The service wasn’t all that good either. The flight attendant did a pre-dinner drink. When she came back to ask for my choice for dinner, she said none of my selection were left. I was a little upset as nothing else appealed to me. She then came back later, and said the other part of the aircraft had more of the meal selection I wanted. I’m not sure why they didn’t coordinate that to begin with. I was NOT offered any wine or other drink with with dinner. The meal was put down in front of me and the flight attendant never came back other than to clear the tray. Overall, this flight was not very good. I flew over on American and back on BA and paid $6000 round-trip. I’d fly American again. My preferred carrier is United or Lufthansa. I’ll never fly BA again.",c hoped would good review unfortunately wont flew business class lhr pdx nonstop series attendant specifically mentioned eight years old recalled brand new business class seats abysmal window facing backwards divider position taxi takeoff landing literally feet away person aisle facing forward couldnt help stare one another couldnt avoided horrible service wasnt good either attendant predinner drink came back ask choice dinner said none selection left little upset nothing else appealed came back later said part meal selection wanted im sure didnt coordinate begin offered wine drink dinner meal put front attendant never came back clear tray overall good flew american back paid roundtrip id american preferred carrier united lufthansa ill never,2023-12-17,Not Verified,0.91309035,0.078057066,0.008852727,1
10,"I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever.",going cancelled meant stay overnight accommodation etc rebooked city airport h train get uber take hotel total prices reassured phone would get money back city airport cancelled rebooked heathrow two days later cancelled rebooked new one lufthansa urgently get work needed money never received money back hotel compensation cancelled compensation cancelled extra food pay uber actual cost first transferred stopped replying told issue weather conditions although nonba going lost total never got compensated loss work day either really feels like dont care people worst serviceairline ever,2023-12-15,Verified ,0.83144253,0.15002182,0.018535648,1
